perturbationId,seed,taskName,conditionSnrDb,windowLength,aucLzmsaPaper,aucLzmsaMeanCompressedByteValue,aucLzmsaCompressedByteBucket64To127Proportion,aucLzmsaSuffixThirdMeanCompressedByteValue,absoluteDeltaFromPaperMeanCompressedByteValue,absoluteDeltaFromPaperCompressedByteBucket64To127Proportion,absoluteDeltaFromPaperSuffixThirdMeanCompressedByteValue
scale-half,86420,ofdm-signal-present-vs-noise-only,0.000000,64,0.553434,0.538966,0.502604,0.490162,0.014468,0.050830,0.063272
scale-half,86420,ofdm-signal-present-vs-noise-only,0.000000,128,0.535012,0.524498,0.571663,0.562211,0.010514,0.036651,0.027199
scale-half,97531,gaussian-emitter-vs-noise-only,-9.000000,64,0.441165,0.439043,0.502797,0.511574,0.002122,0.061632,0.070409
scale-half,97531,gaussian-emitter-vs-noise-only,-9.000000,128,0.523148,0.525463,0.425058,0.459780,0.002315,0.098090,0.063368
scale-half,97531,gaussian-emitter-vs-noise-only,-3.000000,64,0.502701,0.492284,0.438272,0.563465,0.010417,0.064429,0.060764
scale-half,97531,gaussian-emitter-vs-noise-only,-3.000000,128,0.482446,0.491898,0.486786,0.464313,0.009452,0.004340,0.018133
scale-half,97531,gaussian-emitter-vs-noise-only,0.000000,64,0.424961,0.430556,0.503665,0.407215,0.005595,0.078704,0.017746
scale-half,97531,gaussian-emitter-vs-noise-only,0.000000,128,0.434028,0.424961,0.542728,0.410301,0.009067,0.108700,0.023727
scale-half,97531,ofdm-signal-present-vs-noise-only,-9.000000,64,0.472994,0.467978,0.504726,0.398534,0.005016,0.031732,0.074460
scale-half,97531,ofdm-signal-present-vs-noise-only,-9.000000,128,0.500000,0.485918,0.441647,0.461227,0.014082,0.058353,0.038773
scale-half,97531,ofdm-signal-present-vs-noise-only,-3.000000,64,0.548225,0.540316,0.525463,0.534722,0.007909,0.022762,0.013503
scale-half,97531,ofdm-signal-present-vs-noise-only,-3.000000,128,0.370949,0.350116,0.601755,0.337191,0.020833,0.230806,0.033758
scale-half,97531,ofdm-signal-present-vs-noise-only,0.000000,64,0.477527,0.468364,0.536651,0.508198,0.009163,0.059124,0.030671
scale-half,97531,ofdm-signal-present-vs-noise-only,0.000000,128,0.478395,0.461806,0.467689,0.469329,0.016589,0.010706,0.009066
