alternativeDetectorName,featureFamily,medianAbsoluteAucDeltaFromPaper,maxAbsoluteAucDeltaFromPaper,closerThanWholeStreamMeanConditionCount
lzmsa-mean-compressed-byte-value,whole-stream,0.064815,0.132427,0
lzmsa-compressed-byte-variance,whole-stream,0.115306,0.363040,4
lzmsa-compressed-byte-bucket-0-63-proportion,coarse-histogram,0.096596,0.393036,2
lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,0.039689,0.179591,6
lzmsa-compressed-byte-bucket-128-191-proportion,coarse-histogram,0.066358,0.301890,4
lzmsa-compressed-byte-bucket-192-255-proportion,coarse-histogram,0.086613,0.186343,4
lzmsa-prefix-third-mean-compressed-byte-value,coarse-positional,0.064622,0.179205,5
lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,0.087336,0.150077,4
