taskFamilyId,bestSingleSignalId,edMedianOnsetHitRate,edMedianOffsetHitRate,edMedianOnsetLocalizationError,edMedianOffsetLocalizationError,edMedianFalsePositiveCount,cavMedianOnsetHitRate,cavMedianOffsetHitRate,cavMedianOnsetLocalizationError,cavMedianOffsetLocalizationError,cavMedianFalsePositiveCount,normalizedMeanMedianOnsetHitRate,normalizedMeanMedianOffsetHitRate,normalizedMeanMedianOnsetLocalizationError,normalizedMeanMedianOffsetLocalizationError,normalizedMeanMedianFalsePositiveCount,fusedSignalId,fusedMedianOnsetHitRate,fusedMedianOffsetHitRate,fusedMedianOnsetLocalizationError,fusedMedianOffsetLocalizationError,fusedMedianFalsePositiveCount,fusedMinusBestSingleMedianOnsetHitRate,fusedMinusBestSingleMedianOffsetHitRate,fusedMinusBestSingleMedianOnsetLocalizationError,fusedMinusBestSingleMedianOffsetLocalizationError,fusedMinusBestSingleMedianFalsePositiveCount,fusionBestOrTiedBestConditionCount,fusionRecoveredAgainstBestBaselineConditionCount,fusionRecoveredAgainstAllSinglesConditionCount,familyRead
correlated-nuisance-to-engineered-structure,cav,0.000000,0.125000,0.000000,64.000000,3.000000,0.125000,0.125000,64.000000,64.000000,3.000000,0.125000,0.125000,64.000000,32.000000,3.000000,ed-cav-rms-normalized-mean-fused,0.125000,0.125000,0.000000,64.000000,3.000000,0.000000,0.000000,-64.000000,0.000000,0.000000,7,0,0,"Fusion was roughly competitive with the best single signal on this family, but the gain looked marginal rather than clearly practical."
quiet-to-structured-regime,ed,0.375000,0.250000,32.000000,32.000000,2.000000,0.250000,0.250000,48.000000,32.000000,3.000000,0.125000,0.125000,64.000000,64.000000,3.000000,ed-cav-rms-normalized-mean-fused,0.375000,0.312500,32.000000,32.000000,2.000000,0.000000,0.062500,0.000000,0.000000,0.000000,9,1,1,"Fusion showed complementary value on this family by recovering some onset-hit cases that the singles missed, but the overall lift remained modest; RMS-normalized mean looks helpful as a secondary boundary cue rather than a dominant standalone detector. (normalized-mean median onset hit rate 0.125)"
structure-to-structure-regime-shift,ed,0.125000,,48.000000,,3.000000,0.125000,,64.000000,,3.000000,0.125000,,64.000000,,3.000000,ed-cav-rms-normalized-mean-fused,0.125000,,64.000000,,3.000000,0.000000,,16.000000,,0.000000,7,1,0,"Fusion showed complementary value on this family by recovering some onset-hit cases that the singles missed, but the overall lift remained modest; RMS-normalized mean looks helpful as a secondary boundary cue rather than a dominant standalone detector. (normalized-mean median onset hit rate 0.125)"
