taskFamilyId,seed,snrDb,windowLength,signalId,onsetHitRate,offsetHitRate,medianOnsetLocalizationError,medianOffsetLocalizationError,medianFalsePositiveCount,medianOnsetDetectionDelay,medianOffsetDetectionDelay,streamCount
quiet-to-structured-regime,24680,0,128,cav,0.875000,0.875000,0.000000,64.000000,1.000000,0.000000,-64.000000,8
quiet-to-structured-regime,24680,0,128,ed,0.750000,0.750000,32.000000,32.000000,1.500000,-32.000000,-32.000000,8
quiet-to-structured-regime,24680,0,128,ed-cav-rms-normalized-mean-fused,0.750000,0.750000,0.000000,64.000000,1.500000,0.000000,-64.000000,8
quiet-to-structured-regime,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.125000,0.375000,128.000000,128.000000,2.500000,128.000000,-64.000000,8
quiet-to-structured-regime,86420,-9,64,cav,0.000000,0.125000,,32.000000,3.000000,,-32.000000,8
quiet-to-structured-regime,86420,-9,64,ed,0.000000,0.000000,,,3.000000,,,8
quiet-to-structured-regime,86420,-9,64,ed-cav-rms-normalized-mean-fused,0.000000,0.125000,,32.000000,3.000000,,-32.000000,8
quiet-to-structured-regime,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.250000,,0.000000,3.000000,,0.000000,8
quiet-to-structured-regime,86420,-9,128,cav,0.250000,0.000000,96.000000,,3.000000,96.000000,,8
quiet-to-structured-regime,86420,-9,128,ed,0.250000,0.000000,0.000000,,3.000000,0.000000,,8
quiet-to-structured-regime,86420,-9,128,ed-cav-rms-normalized-mean-fused,0.250000,0.125000,64.000000,64.000000,3.000000,64.000000,-64.000000,8
quiet-to-structured-regime,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.125000,0.375000,64.000000,64.000000,2.500000,64.000000,-64.000000,8
quiet-to-structured-regime,86420,-3,64,cav,0.000000,0.250000,,0.000000,3.000000,,0.000000,8
quiet-to-structured-regime,86420,-3,64,ed,0.000000,0.375000,,32.000000,3.000000,,-32.000000,8
quiet-to-structured-regime,86420,-3,64,ed-cav-rms-normalized-mean-fused,0.250000,0.375000,0.000000,0.000000,2.000000,0.000000,0.000000,8
quiet-to-structured-regime,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.125000,,64.000000,3.000000,,64.000000,8
quiet-to-structured-regime,86420,-3,128,cav,0.500000,0.250000,0.000000,64.000000,2.000000,0.000000,-64.000000,8
quiet-to-structured-regime,86420,-3,128,ed,0.625000,0.625000,0.000000,64.000000,2.000000,0.000000,-64.000000,8
quiet-to-structured-regime,86420,-3,128,ed-cav-rms-normalized-mean-fused,0.625000,0.375000,0.000000,64.000000,2.000000,0.000000,-64.000000,8
quiet-to-structured-regime,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.250000,,96.000000,3.000000,,-96.000000,8
quiet-to-structured-regime,86420,0,64,cav,0.625000,0.500000,32.000000,32.000000,2.000000,32.000000,-32.000000,8
quiet-to-structured-regime,86420,0,64,ed,0.375000,0.625000,0.000000,32.000000,2.000000,0.000000,-32.000000,8
quiet-to-structured-regime,86420,0,64,ed-cav-rms-normalized-mean-fused,0.375000,0.375000,0.000000,32.000000,2.000000,0.000000,-32.000000,8
quiet-to-structured-regime,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.250000,0.000000,48.000000,,3.000000,-16.000000,,8
quiet-to-structured-regime,86420,0,128,cav,0.750000,0.750000,0.000000,0.000000,1.500000,0.000000,0.000000,8
quiet-to-structured-regime,86420,0,128,ed,0.500000,0.875000,32.000000,64.000000,2.000000,-32.000000,-64.000000,8
quiet-to-structured-regime,86420,0,128,ed-cav-rms-normalized-mean-fused,0.750000,0.875000,0.000000,64.000000,1.000000,0.000000,-64.000000,8
quiet-to-structured-regime,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.375000,0.125000,64.000000,64.000000,2.500000,64.000000,-64.000000,8
quiet-to-structured-regime,97531,-9,64,cav,0.125000,0.125000,64.000000,0.000000,3.000000,64.000000,0.000000,8
quiet-to-structured-regime,97531,-9,64,ed,0.250000,0.125000,64.000000,64.000000,3.000000,0.000000,-64.000000,8
quiet-to-structured-regime,97531,-9,64,ed-cav-rms-normalized-mean-fused,0.125000,0.125000,64.000000,32.000000,3.000000,64.000000,32.000000,8
quiet-to-structured-regime,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.000000,,,3.000000,,,8
quiet-to-structured-regime,97531,-9,128,cav,0.250000,0.000000,128.000000,,3.000000,128.000000,,8
quiet-to-structured-regime,97531,-9,128,ed,0.125000,0.000000,0.000000,,3.000000,0.000000,,8
quiet-to-structured-regime,97531,-9,128,ed-cav-rms-normalized-mean-fused,0.125000,0.000000,128.000000,,3.000000,128.000000,,8
quiet-to-structured-regime,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.125000,0.125000,128.000000,64.000000,3.000000,-128.000000,64.000000,8
quiet-to-structured-regime,97531,-3,64,cav,0.250000,0.250000,16.000000,32.000000,3.000000,-16.000000,-32.000000,8
quiet-to-structured-regime,97531,-3,64,ed,0.500000,0.125000,32.000000,32.000000,2.000000,-32.000000,-32.000000,8
quiet-to-structured-regime,97531,-3,64,ed-cav-rms-normalized-mean-fused,0.500000,0.125000,16.000000,32.000000,2.000000,-16.000000,-32.000000,8
quiet-to-structured-regime,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.125000,0.000000,0.000000,,3.000000,0.000000,,8
quiet-to-structured-regime,97531,-3,128,cav,0.500000,0.375000,32.000000,0.000000,2.000000,0.000000,0.000000,8
quiet-to-structured-regime,97531,-3,128,ed,0.500000,0.625000,32.000000,0.000000,2.000000,-32.000000,0.000000,8
quiet-to-structured-regime,97531,-3,128,ed-cav-rms-normalized-mean-fused,0.375000,0.500000,0.000000,0.000000,2.000000,0.000000,0.000000,8
quiet-to-structured-regime,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000,0.250000,64.000000,96.000000,2.000000,32.000000,96.000000,8
quiet-to-structured-regime,97531,0,64,cav,0.125000,0.250000,64.000000,64.000000,3.000000,64.000000,-64.000000,8
quiet-to-structured-regime,97531,0,64,ed,0.750000,0.750000,32.000000,16.000000,1.500000,-32.000000,-16.000000,8
quiet-to-structured-regime,97531,0,64,ed-cav-rms-normalized-mean-fused,0.625000,0.500000,32.000000,16.000000,2.000000,-32.000000,-16.000000,8
quiet-to-structured-regime,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.250000,0.375000,16.000000,64.000000,2.500000,16.000000,-64.000000,8
quiet-to-structured-regime,97531,0,128,cav,0.625000,0.875000,64.000000,64.000000,1.000000,0.000000,-64.000000,8
quiet-to-structured-regime,97531,0,128,ed,0.625000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,8
quiet-to-structured-regime,97531,0,128,ed-cav-rms-normalized-mean-fused,0.750000,0.750000,32.000000,32.000000,1.000000,-32.000000,-32.000000,8
quiet-to-structured-regime,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.000000,0.250000,,64.000000,3.000000,,64.000000,8
structure-to-structure-regime-shift,24680,-9,64,cav,0.000000,,,,3.000000,,,8
