taskName,scenarioName,targetLabel,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,count,positiveCount,negativeCount,minScore,maxScore,meanScore,standardDeviation,aboveThresholdCount,auc
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,128,144,72,72,1985.000000,2011.000000,1996.229167,5.753886,0,0.060282
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,64,144,72,72,998.000000,1020.000000,1007.847222,4.684963,0,0.076389
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,128,144,72,72,1983.000000,2015.000000,1997.222222,7.842587,0,0.027778
ofdm-signal-present-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,144,72,72,127.836310,138.501984,132.041154,2.093857,141,0.481481
ofdm-signal-present-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,144,72,72,127.723170,135.251006,131.330052,1.621421,143,0.450231
ofdm-signal-present-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,144,72,72,124.901688,137.218905,131.532962,2.160509,135,0.561921
ofdm-signal-present-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,144,72,72,126.884538,135.496752,131.562360,1.821753,137,0.565490
ofdm-signal-present-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,144,72,72,123.982249,138.373518,131.521207,2.303313,137,0.560957
ofdm-signal-present-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,144,72,72,127.643822,135.021522,131.322884,1.552357,143,0.489969
ofdm-signal-present-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,64,144,72,72,0.975586,0.990234,0.982178,0.002666,0,0.355806
