perturbationId,perturbationAxisTag,seed,taskName,conditionSnrDb,windowLength,aucLzmsaPaper,aucLzmsaMeanCompressedByteValue,aucLzmsaCompressedByteBucket64To127Proportion,aucLzmsaSuffixThirdMeanCompressedByteValue,absoluteDeltaFromPaperMeanCompressedByteValue,absoluteDeltaFromPaperCompressedByteBucket64To127Proportion,absoluteDeltaFromPaperSuffixThirdMeanCompressedByteValue
scale-half,scale,24680,ofdm-signal-present-vs-noise-only,-9.000000,64,0.454475,0.457369,0.480131,0.455440,0.002894,0.025656,0.000965
scale-half,scale,24680,ofdm-signal-present-vs-noise-only,-9.000000,128,0.488522,0.470100,0.574074,0.568673,0.018422,0.085552,0.080151
scale-half,scale,24680,ofdm-signal-present-vs-noise-only,-3.000000,64,0.434510,0.458526,0.506173,0.489873,0.024016,0.071663,0.055363
scale-half,scale,24680,ofdm-signal-present-vs-noise-only,-3.000000,128,0.452739,0.446181,0.482928,0.514371,0.006558,0.030189,0.061632
scale-half,scale,24680,ofdm-signal-present-vs-noise-only,0.000000,64,0.487076,0.504244,0.516686,0.511960,0.017168,0.029610,0.024884
scale-half,scale,24680,ofdm-signal-present-vs-noise-only,0.000000,128,0.507716,0.491512,0.568287,0.461227,0.016204,0.060571,0.046489
scale-half,scale,86420,gaussian-emitter-vs-noise-only,-9.000000,64,0.413002,0.416474,0.554109,0.478202,0.003472,0.141107,0.065200
scale-half,scale,86420,gaussian-emitter-vs-noise-only,-9.000000,128,0.528356,0.534722,0.541763,0.520062,0.006366,0.013407,0.008294
scale-half,scale,86420,gaussian-emitter-vs-noise-only,-3.000000,64,0.449556,0.452353,0.506752,0.484182,0.002797,0.057196,0.034626
scale-half,scale,86420,gaussian-emitter-vs-noise-only,-3.000000,128,0.520833,0.492959,0.474537,0.512828,0.027874,0.046296,0.008005
scale-half,scale,86420,gaussian-emitter-vs-noise-only,0.000000,64,0.507137,0.477623,0.540413,0.438754,0.029514,0.033276,0.068383
scale-half,scale,86420,gaussian-emitter-vs-noise-only,0.000000,128,0.560860,0.539931,0.531154,0.574749,0.020929,0.029706,0.013889
scale-half,scale,86420,ofdm-signal-present-vs-noise-only,-9.000000,64,0.505015,0.500579,0.572338,0.513310,0.004436,0.067323,0.008295
scale-half,scale,86420,ofdm-signal-present-vs-noise-only,-9.000000,128,0.511092,0.497299,0.561246,0.524691,0.013793,0.050154,0.013599
