taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2000.000000,0.972222,0.958333,70,69,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2001.000000,0.986111,0.972222,71,70,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2003.000000,1.000000,0.986111,72,71,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2005.000000,1.000000,1.000000,72,72,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,,0.000000,0.000000,0,0,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1000.000000,0.000000,0.013889,0,1,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1002.000000,0.000000,0.138889,0,10,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1003.000000,0.000000,0.277778,0,20,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1005.000000,0.083333,0.569444,6,41,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1006.000000,0.097222,0.666667,7,48,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1007.000000,0.194444,0.763889,14,55,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1009.000000,0.347222,0.833333,25,60,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1010.000000,0.444444,0.875000,32,63,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1011.000000,0.527778,0.902778,38,65,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1013.000000,0.722222,0.972222,52,70,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1014.000000,0.750000,0.986111,54,71,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1015.000000,0.861111,0.986111,62,71,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1018.000000,0.944444,0.986111,68,71,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1019.000000,0.958333,1.000000,69,72,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1021.000000,0.986111,1.000000,71,72,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1024.000000,1.000000,1.000000,72,72,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,,0.000000,0.000000,0,0,72,72,0.160783,27
