taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.267748,0.083333,0.027778,6,2,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.262195,0.111111,0.138889,8,10,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.258000,0.125000,0.236111,9,17,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.255020,0.222222,0.291667,16,21,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.251012,0.277778,0.375000,20,27,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.246465,0.361111,0.416667,26,30,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.244000,0.430556,0.444444,31,32,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.240326,0.472222,0.513889,34,37,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.237525,0.597222,0.541667,43,39,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.233400,0.666667,0.583333,48,42,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.229376,0.722222,0.694444,52,50,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.226000,0.805556,0.736111,58,53,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.220648,0.847222,0.819444,61,59,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.216327,0.888889,0.902778,64,65,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.211813,0.944444,0.958333,68,69,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.193613,1.000000,1.000000,72,72,72,72,0.495563,120
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,,0.000000,0.000000,0,0,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.256701,0.069444,0.069444,5,5,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.254115,0.152778,0.125000,11,9,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.252577,0.236111,0.166667,17,12,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.250774,0.291667,0.250000,21,18,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.246377,0.319444,0.361111,23,26,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.243326,0.402778,0.416667,29,30,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.241770,0.444444,0.472222,32,34,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.238193,0.486111,0.541667,35,39,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.235597,0.569444,0.597222,41,43,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.234197,0.652778,0.625000,47,45,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.232821,0.722222,0.680556,52,49,72,72,0.505112,125
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.231166,0.791667,0.736111,57,53,72,72,0.505112,125
