representationFamilyId,scaleValue,seed,taskName,conditionSnrDb,windowLength,aucLzmsaPaper,aucLzmsaMeanCompressedByteValue,aucLzmsaCompressedByteBucket64To127Proportion,aucLzmsaSuffixThirdMeanCompressedByteValue,absoluteDeltaFromPaperMeanCompressedByteValue,absoluteDeltaFromPaperCompressedByteBucket64To127Proportion,absoluteDeltaFromPaperSuffixThirdMeanCompressedByteValue
normalized-rms,1,24680,gaussian-emitter-vs-noise-only,0.000000,64,0.480903,0.483603,0.515529,0.502894,0.002700,0.034626,0.021991
normalized-rms,1,24680,gaussian-emitter-vs-noise-only,0.000000,128,0.504437,0.499807,0.432870,0.495177,0.004630,0.071567,0.009260
normalized-rms,1,24680,ofdm-signal-present-vs-noise-only,-9.000000,64,0.494599,0.520448,0.579861,0.553627,0.025849,0.085262,0.059028
normalized-rms,1,24680,ofdm-signal-present-vs-noise-only,-9.000000,128,0.466435,0.454861,0.492670,0.466339,0.011574,0.026235,0.000096
normalized-rms,1,24680,ofdm-signal-present-vs-noise-only,-3.000000,64,0.375482,0.384838,0.473669,0.443480,0.009356,0.098187,0.067998
normalized-rms,1,24680,ofdm-signal-present-vs-noise-only,-3.000000,128,0.571566,0.564622,0.495660,0.460841,0.006944,0.075906,0.110725
normalized-rms,1,24680,ofdm-signal-present-vs-noise-only,0.000000,64,0.472512,0.486883,0.503665,0.560378,0.014371,0.031153,0.087866
normalized-rms,1,24680,ofdm-signal-present-vs-noise-only,0.000000,128,0.476370,0.462577,0.430652,0.427855,0.013793,0.045718,0.048515
normalized-rms,1,86420,gaussian-emitter-vs-noise-only,-9.000000,64,0.503665,0.489583,0.532407,0.485340,0.014082,0.028742,0.018325
normalized-rms,1,86420,gaussian-emitter-vs-noise-only,-9.000000,128,0.394097,0.404514,0.570698,0.466532,0.010417,0.176601,0.072435
normalized-rms,1,86420,gaussian-emitter-vs-noise-only,-3.000000,64,0.507909,0.521026,0.472704,0.481867,0.013117,0.035205,0.026042
normalized-rms,1,86420,gaussian-emitter-vs-noise-only,-3.000000,128,0.554591,0.561535,0.430073,0.520158,0.006944,0.124518,0.034433
normalized-rms,1,86420,gaussian-emitter-vs-noise-only,0.000000,64,0.485340,0.467207,0.555459,0.476659,0.018133,0.070119,0.008681
normalized-rms,1,86420,gaussian-emitter-vs-noise-only,0.000000,128,0.508777,0.513696,0.488329,0.530864,0.004919,0.020448,0.022087
normalized-rms,1,86420,ofdm-signal-present-vs-noise-only,-9.000000,64,0.373457,0.390046,0.562404,0.436535,0.016589,0.188947,0.063078
normalized-rms,1,86420,ofdm-signal-present-vs-noise-only,-9.000000,128,0.528742,0.543017,0.433353,0.517747,0.014275,0.095389,0.010995
